MM:DD:YYYY hh:mm:ss,time_elapsed_ms,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/25/2025 10:08:45,268165,1.16.3,DualPortTimed,0,3.66,nan,1,Right,Left,0,1,0,0,nan,nan,0.41
11/25/2025 10:09:01,283748,1.16.3,DualPortTimed,0,3.66,4,1,Pellet,Left,0,1,1,0,9.44,nan,nan
11/25/2025 10:09:55,337856,1.16.3,DualPortTimed,0,3.66,nan,1,Left,Left,1,1,1,0,nan,nan,0.00
11/25/2025 10:10:38,381084,1.16.3,DualPortTimed,0,3.66,11,1,Pellet,Left,1,1,2,0,12.87,97,nan
11/25/2025 10:11:33,436001,1.16.3,DualPortTimed,0,3.66,nan,1,Right,Left,1,2,2,0,nan,nan,0.01
11/25/2025 10:11:39,442309,1.16.3,DualPortTimed,0,3.65,4,1,Pellet,Left,1,2,3,0,0.24,61,nan
11/25/2025 10:15:30,672445,1.16.3,DualPortTimed,0,3.65,nan,1,Left,Left,2,2,3,0,nan,nan,0.39
11/25/2025 10:15:34,676544,1.16.3,DualPortTimed,0,3.66,1,1,Pellet,Left,2,2,4,0,2.38,235,nan
11/25/2025 10:16:03,705941,1.16.3,DualPortTimed,0,3.66,nan,1,Right,Left,2,3,4,0,nan,nan,0.00
11/25/2025 10:16:21,723902,1.16.3,DualPortTimed,0,3.66,1,1,Pellet,Left,2,3,5,0,16.26,47,nan
11/25/2025 10:17:00,762923,1.16.3,DualPortTimed,0,3.66,nan,1,Left,Left,3,3,5,0,nan,nan,0.00
11/25/2025 10:17:09,771585,1.16.3,DualPortTimed,0,3.66,5,1,Pellet,Left,3,3,6,0,0.06,48,nan
11/25/2025 10:20:57,999725,1.16.3,DualPortTimed,0,3.67,nan,1,Left,Left,4,3,6,0,nan,nan,0.71
11/25/2025 10:21:16,1019115,1.16.3,DualPortTimed,0,3.66,7,1,Pellet,Left,4,3,7,0,6.50,247,nan
11/25/2025 10:23:01,1124310,1.16.3,DualPortTimed,0,3.66,nan,1,Left,Left,5,3,7,0,nan,nan,0.13
11/25/2025 10:23:12,1135394,1.16.3,DualPortTimed,0,3.66,nan,1,RightWithPellet,Left,5,4,7,0,nan,nan,0.03
11/25/2025 10:23:15,1137526,1.16.3,DualPortTimed,0,3.65,nan,1,RightWithPellet,Left,5,5,7,0,nan,nan,1.69
11/25/2025 10:23:17,1140169,1.16.3,DualPortTimed,0,3.66,nan,1,RightWithPellet,Left,5,6,7,0,nan,nan,2.21
11/25/2025 10:23:18,1141393,1.16.3,DualPortTimed,0,3.66,nan,1,RightWithPellet,Left,5,7,7,0,nan,nan,0.79
11/25/2025 10:23:19,1142355,1.16.3,DualPortTimed,0,3.66,nan,1,RightWithPellet,Left,5,8,7,0,nan,nan,0.15
11/25/2025 10:23:20,1143202,1.16.3,DualPortTimed,0,3.66,nan,1,RightWithPellet,Left,5,9,7,0,nan,nan,0.29
11/25/2025 10:23:22,1144794,1.16.3,DualPortTimed,0,3.66,nan,1,RightWithPellet,Left,5,10,7,0,nan,nan,0.91
11/25/2025 10:23:22,1145391,1.16.3,DualPortTimed,0,3.65,nan,1,RightWithPellet,Left,5,11,7,0,nan,nan,0.16
11/25/2025 10:23:33,1155804,1.16.3,DualPortTimed,0,3.66,2,1,Pellet,Left,5,11,8,0,29.53,137,nan
11/25/2025 10:23:50,1173214,1.16.3,DualPortTimed,0,3.66,nan,1,Right,Left,5,12,8,0,nan,nan,1.08
11/25/2025 10:23:53,1176060,1.16.3,DualPortTimed,0,3.66,2,1,Pellet,Left,5,12,9,0,0.97,20,nan
11/25/2025 10:24:15,1198389,1.16.3,DualPortTimed,0,3.66,nan,1,Left,Left,6,12,9,0,nan,nan,0.16
11/25/2025 10:24:16,1199251,1.16.3,DualPortTimed,0,3.62,nan,1,LeftDuringDispense,Left,7,12,9,0,nan,nan,0.08
11/25/2025 10:24:20,1203361,1.16.3,DualPortTimed,0,3.66,2,1,Pellet,Left,7,12,10,0,2.87,27,nan
11/25/2025 10:27:52,1414748,1.16.3,DualPortTimed,0,3.66,nan,1,Right,Left,7,13,10,0,nan,nan,0.42
11/25/2025 10:27:55,1417894,1.16.3,DualPortTimed,0,3.66,1,1,Pellet,Left,7,13,11,0,1.46,215,nan
11/25/2025 10:28:32,1454690,1.16.3,DualPortTimed,0,3.66,nan,1,Left,Left,8,13,11,0,nan,nan,0.04
11/25/2025 10:28:35,1457971,1.16.3,DualPortTimed,0,3.66,1,1,Pellet,Left,8,13,12,0,1.65,40,nan
11/25/2025 10:28:59,1481929,1.16.3,DualPortTimed,0,3.66,nan,1,Left,Left,9,13,12,0,nan,nan,0.00
11/25/2025 10:29:03,1485885,1.16.3,DualPortTimed,0,3.66,1,1,Pellet,Left,9,13,13,0,2.26,28,nan
11/25/2025 10:31:22,1625416,1.16.3,DualPortTimed,0,3.67,nan,1,Left,Left,10,13,13,0,nan,nan,0.00
11/25/2025 10:31:24,1626480,1.16.3,DualPortTimed,0,3.66,nan,1,LeftDuringDispense,Left,11,13,13,0,nan,nan,0.44
11/25/2025 10:31:28,1631339,1.16.3,DualPortTimed,0,3.65,nan,1,RightDuringDispense,Left,11,14,13,0,nan,nan,0.30
11/25/2025 10:31:43,1645979,1.16.3,DualPortTimed,0,3.65,7,1,Pellet,Left,11,14,14,0,4.77,160,nan
11/25/2025 10:35:17,1859545,1.16.3,DualPortTimed,0,3.66,nan,1,Left,Left,12,14,14,0,nan,nan,0.00
11/25/2025 10:35:40,1882784,1.16.3,DualPortTimed,0,3.66,7,1,Pellet,Left,12,14,15,0,10.30,237,nan
11/25/2025 10:38:26,2049230,1.16.3,DualPortTimed,0,3.66,nan,1,Right,Left,12,15,15,0,nan,nan,1.10
11/25/2025 10:38:27,2050046,1.16.3,DualPortTimed,0,3.66,nan,1,RightDuringDispense,Left,12,16,15,0,nan,nan,0.19
11/25/2025 10:38:34,2057445,1.16.3,DualPortTimed,0,3.66,2,1,Pellet,Left,12,16,16,0,5.76,174,nan
11/25/2025 10:39:19,2102479,1.16.3,DualPortTimed,0,3.65,nan,1,Left,Left,13,16,16,0,nan,nan,0.00
11/25/2025 10:39:25,2107770,1.16.3,DualPortTimed,0,3.66,2,1,Pellet,Left,13,16,17,0,3.43,51,nan
11/25/2025 10:40:06,2148675,1.16.3,DualPortTimed,0,3.66,nan,1,Left,Left,14,16,17,0,nan,nan,0.00
11/25/2025 10:40:09,2152402,1.16.3,DualPortTimed,0,3.65,2,1,Pellet,Left,14,16,18,0,1.95,44,nan
11/25/2025 10:42:15,2277708,1.16.3,DualPortTimed,0,3.67,nan,1,Left,Left,15,16,18,0,nan,nan,0.00
11/25/2025 10:42:20,2283026,1.16.3,DualPortTimed,0,3.66,2,1,Pellet,Left,15,16,19,0,3.55,131,nan
11/25/2025 10:42:45,2307530,1.16.3,DualPortTimed,0,3.66,nan,1,Right,Left,15,17,19,0,nan,nan,0.54
11/25/2025 10:42:48,2310540,1.16.3,DualPortTimed,0,3.66,1,1,Pellet,Left,15,17,20,0,1.40,28,nan
11/25/2025 10:43:14,2336846,1.16.3,DualPortTimed,0,3.65,nan,1,Right,Left,15,18,20,0,nan,nan,0.00
11/25/2025 10:43:16,2338822,1.16.3,DualPortTimed,0,3.66,2,1,Pellet,Left,15,18,21,0,0.24,28,nan
11/25/2025 10:43:44,2367463,1.16.3,DualPortTimed,0,3.66,nan,1,Right,Left,15,19,21,0,nan,nan,0.00
11/25/2025 10:43:55,2378455,1.16.3,DualPortTimed,0,3.66,5,1,Pellet,Left,15,19,22,0,0.97,39,nan
11/25/2025 10:45:17,2460314,1.16.3,DualPortTimed,0,3.66,nan,1,Left,Left,16,19,22,0,nan,nan,0.00
11/25/2025 10:45:26,2469160,1.16.3,DualPortTimed,0,3.65,nan,1,RightWithPellet,Left,16,20,22,0,nan,nan,0.22
11/25/2025 10:45:27,2470383,1.16.3,DualPortTimed,0,3.65,5,1,Pellet,Left,16,20,23,0,1.63,92,nan
11/25/2025 10:49:43,2726480,1.16.3,DualPortTimed,0,3.66,nan,1,Right,Left,16,21,23,0,nan,nan,0.00
11/25/2025 10:49:47,2730353,1.16.3,DualPortTimed,0,3.66,2,1,Pellet,Left,16,21,24,0,2.02,260,nan
11/25/2025 10:50:14,2756972,1.16.3,DualPortTimed,0,3.65,nan,1,Left,Left,17,21,24,0,nan,nan,0.00
11/25/2025 10:50:17,2760259,1.16.3,DualPortTimed,0,3.66,2,1,Pellet,Left,17,21,25,0,1.40,30,nan
11/25/2025 10:52:08,2871079,1.16.3,DualPortTimed,0,3.66,nan,1,Right,Left,17,22,25,0,nan,nan,0.06
11/25/2025 10:52:10,2873468,1.16.3,DualPortTimed,0,3.66,1,1,Pellet,Left,17,22,26,0,0.67,113,nan
11/25/2025 10:52:33,2896298,1.16.3,DualPortTimed,0,3.66,nan,1,Right,Left,17,23,26,0,nan,nan,0.00
11/25/2025 10:52:36,2899097,1.16.3,DualPortTimed,0,3.66,1,1,Pellet,Left,17,23,27,0,1.10,26,nan
11/25/2025 10:53:29,2952074,1.16.3,DualPortTimed,0,3.65,nan,1,Right,Left,17,24,27,0,nan,nan,0.33
11/25/2025 10:53:30,2953234,1.16.3,DualPortTimed,0,3.62,nan,1,RightDuringDispense,Left,17,25,27,0,nan,nan,0.26
11/25/2025 10:53:32,2955035,1.16.3,DualPortTimed,0,3.65,1,1,Pellet,Left,17,25,28,0,1.03,56,nan
11/25/2025 10:53:51,2973770,1.16.3,DualPortTimed,0,3.66,nan,1,Right,Left,17,26,28,0,nan,nan,0.00
11/25/2025 10:53:54,2977464,1.16.3,DualPortTimed,0,3.65,2,1,Pellet,Left,17,26,29,0,1.83,22,nan
11/25/2025 10:55:30,3073262,1.16.3,DualPortTimed,0,3.66,nan,1,Right,Left,17,27,29,0,nan,nan,0.11
11/25/2025 10:55:34,3077149,1.16.3,DualPortTimed,0,3.66,2,1,Pellet,Left,17,27,30,0,2.08,100,nan
11/25/2025 10:55:55,3098502,1.16.3,DualPortTimed,0,3.66,nan,1,Right,Left,17,28,30,0,nan,nan,0.00
11/25/2025 10:56:03,3105716,1.16.3,DualPortTimed,0,3.62,nan,1,RightDuringDispense,Left,17,29,30,0,nan,nan,0.15
11/25/2025 10:56:09,3112435,1.16.3,DualPortTimed,0,3.66,7,1,Pellet,Left,17,29,31,0,0.61,35,nan
11/25/2025 10:56:31,3133822,1.16.3,DualPortTimed,0,3.66,nan,1,Right,Left,17,30,31,0,nan,nan,0.04
11/25/2025 10:56:36,3139171,1.16.3,DualPortTimed,0,3.65,3,1,Pellet,Left,17,30,32,0,1.46,27,nan
11/25/2025 10:59:09,3291933,1.16.3,DualPortTimed,0,3.65,nan,1,Right,Left,17,31,32,0,nan,nan,0.04
11/25/2025 10:59:11,3294044,1.16.3,DualPortTimed,0,3.66,1,1,Pellet,Left,17,31,33,0,0.48,155,nan
11/25/2025 11:01:08,3410915,1.16.3,DualPortTimed,0,3.66,nan,1,Right,Left,17,32,33,0,nan,nan,0.00
11/25/2025 11:01:13,3415826,1.16.3,DualPortTimed,0,3.66,1,1,Pellet,Left,17,32,34,0,3.30,122,nan
11/25/2025 11:01:33,3435979,1.16.3,DualPortTimed,0,3.66,nan,1,Left,Left,18,32,34,0,nan,nan,0.00
11/25/2025 11:01:37,3439669,1.16.3,DualPortTimed,0,3.65,2,1,Pellet,Left,18,32,35,0,1.95,24,nan
11/25/2025 11:02:47,3510034,1.16.3,DualPortTimed,0,3.65,nan,1,Right,Left,18,33,35,0,nan,nan,0.17
11/25/2025 11:02:49,3512354,1.16.3,DualPortTimed,0,3.65,1,1,Pellet,Left,18,33,36,0,0.67,72,nan
11/25/2025 11:07:30,3793221,1.16.3,DualPortTimed,0,3.66,nan,1,Right,Left,18,34,36,0,nan,nan,0.00
11/25/2025 11:07:33,3795974,1.16.3,DualPortTimed,0,3.65,1,1,Pellet,Left,18,34,37,0,1.09,284,nan
11/25/2025 11:08:11,3833972,1.16.3,DualPortTimed,0,3.66,nan,1,Left,Left,19,34,37,0,nan,nan,0.00
11/25/2025 11:08:14,3837434,1.16.3,DualPortTimed,0,3.65,1,1,Pellet,Left,19,34,38,0,1.77,41,nan
11/25/2025 11:08:40,3862596,1.16.3,DualPortTimed,0,3.65,nan,1,Right,Left,19,35,38,0,nan,nan,0.00
11/25/2025 11:08:40,3863391,1.16.3,DualPortTimed,0,3.65,nan,1,RightDuringDispense,Left,19,36,38,0,nan,nan,0.17
11/25/2025 11:08:45,3868413,1.16.3,DualPortTimed,0,3.65,nan,1,RightWithPellet,Left,19,37,38,0,nan,nan,0.14
11/25/2025 11:08:47,3870314,1.16.3,DualPortTimed,0,3.65,2,1,Pellet,Left,19,37,39,0,5.48,33,nan
11/25/2025 11:09:02,3885308,1.16.3,DualPortTimed,0,3.65,nan,1,Right,Left,19,38,39,0,nan,nan,0.08
