MM:DD:YYYY hh:mm:ss,time_elapsed_ms,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/29/2025 13:17:08,491424,1.16.3,5x5TIMED,0,3.65,nan,5,Right,Left,0,1,0,0,nan,nan,0.00
11/29/2025 13:17:25,508186,1.16.3,5x5TIMED,0,3.65,nan,5,Left,Left,1,1,0,0,nan,nan,0.00
11/29/2025 13:17:30,513226,1.16.3,5x5TIMED,0,3.65,2,5,Pellet,Left,1,1,1,0,0.06,nan,nan
11/29/2025 13:26:30,1052961,1.16.3,5x5TIMED,0,3.65,nan,5,Left,Left,2,1,1,0,nan,nan,0.00
11/29/2025 13:26:33,1055821,1.16.3,5x5TIMED,0,3.65,1,5,Pellet,Left,2,1,2,0,0.06,542,nan
11/29/2025 13:28:49,1192591,1.16.3,5x5TIMED,0,3.65,nan,5,Left,Left,3,1,2,0,nan,nan,0.07
11/29/2025 13:28:52,1195702,1.16.3,5x5TIMED,0,3.66,1,5,Pellet,Left,3,1,3,0,0.24,140,nan
11/29/2025 13:29:10,1213592,1.16.3,5x5TIMED,0,3.64,nan,5,Left,Left,4,1,3,0,nan,nan,0.03
11/29/2025 13:29:13,1216525,1.16.3,5x5TIMED,0,3.65,1,5,Pellet,Left,4,1,4,0,0.06,21,nan
11/29/2025 13:29:44,1247235,1.16.3,5x5TIMED,0,3.65,nan,5,Right,Left,4,2,4,0,nan,nan,0.02
11/29/2025 13:29:45,1248587,1.16.3,5x5TIMED,0,3.65,nan,5,Right,Left,4,3,4,0,nan,nan,0.05
11/29/2025 13:30:41,1304208,1.16.3,5x5TIMED,0,3.65,nan,5,Left,Left,5,3,4,0,nan,nan,0.00
11/29/2025 13:30:44,1307099,1.16.3,5x5TIMED,0,3.65,1,5,Pellet,Left,5,3,5,0,0.06,91,nan
11/29/2025 13:31:03,1326275,1.16.3,5x5TIMED,0,3.65,nan,5,Left,Right,6,3,5,0,nan,nan,0.13
11/29/2025 13:31:10,1333130,1.16.3,5x5TIMED,0,3.65,nan,5,Left,Right,7,3,5,0,nan,nan,0.00
11/29/2025 13:31:16,1339626,1.16.3,5x5TIMED,0,3.65,nan,5,Right,Right,7,4,5,0,nan,nan,0.23
11/29/2025 13:31:19,1342501,1.16.3,5x5TIMED,0,3.65,1,5,Pellet,Right,7,4,6,0,0.06,35,nan
11/29/2025 13:31:31,1354198,1.16.3,5x5TIMED,0,3.65,nan,5,Right,Right,7,5,6,0,nan,nan,0.26
11/29/2025 13:31:34,1357361,1.16.3,5x5TIMED,0,3.65,1,5,Pellet,Right,7,5,7,0,0.36,15,nan
11/29/2025 13:31:51,1373930,1.16.3,5x5TIMED,0,3.65,nan,5,Left,Right,8,5,7,0,nan,nan,0.18
11/29/2025 13:31:55,1377863,1.16.3,5x5TIMED,0,3.65,nan,5,Right,Right,8,6,7,0,nan,nan,0.00
11/29/2025 13:31:57,1380788,1.16.3,5x5TIMED,0,3.65,1,5,Pellet,Right,8,6,8,0,0.06,23,nan
11/29/2025 13:34:01,1503957,1.16.3,5x5TIMED,0,3.65,nan,5,Left,Right,9,6,8,0,nan,nan,0.00
11/29/2025 13:37:01,1684493,1.16.3,5x5TIMED,0,3.65,nan,5,Left,Right,10,6,8,0,nan,nan,0.00
11/29/2025 13:37:14,1697245,1.16.3,5x5TIMED,0,3.65,nan,5,Left,Right,11,6,8,0,nan,nan,0.03
11/29/2025 13:37:17,1699896,1.16.3,5x5TIMED,0,3.66,nan,5,Left,Right,12,6,8,0,nan,nan,0.17
11/29/2025 14:14:50,3953081,1.16.3,5x5TIMED,0,3.65,nan,5,Left,Right,13,6,8,0,nan,nan,0.00
11/29/2025 14:14:52,3955337,1.16.3,5x5TIMED,0,3.65,nan,5,Left,Right,14,6,8,0,nan,nan,0.07
11/29/2025 14:14:56,3959003,1.16.3,5x5TIMED,0,3.65,nan,5,Right,Right,14,7,8,0,nan,nan,0.02
11/29/2025 14:14:58,3961882,1.16.3,5x5TIMED,0,3.65,1,5,Pellet,Right,14,7,9,0,0.06,2581,nan
11/29/2025 14:15:18,3981841,1.16.3,5x5TIMED,0,3.65,nan,5,Right,Right,14,8,9,0,nan,nan,0.33
11/29/2025 14:15:21,3984777,1.16.3,5x5TIMED,0,3.65,1,5,Pellet,Right,14,8,10,0,0.06,23,nan
11/29/2025 14:15:45,4008729,1.16.3,5x5TIMED,0,3.65,nan,5,Right,Left,14,9,10,0,nan,nan,0.19
11/29/2025 14:16:04,4027300,1.16.3,5x5TIMED,0,3.65,nan,5,Left,Left,15,9,10,0,nan,nan,0.00
11/29/2025 14:16:07,4030179,1.16.3,5x5TIMED,0,3.65,1,5,Pellet,Left,15,9,11,0,0.06,46,nan
11/29/2025 14:16:27,4050435,1.16.3,5x5TIMED,0,3.65,nan,5,Left,Left,16,9,11,0,nan,nan,0.02
11/29/2025 14:16:32,4054964,1.16.3,5x5TIMED,0,3.65,1,5,Pellet,Left,16,9,12,0,1.65,24,nan
11/29/2025 14:16:50,4073470,1.16.3,5x5TIMED,0,3.65,nan,5,Left,Left,17,9,12,0,nan,nan,0.00
11/29/2025 14:16:53,4076493,1.16.3,5x5TIMED,0,3.65,1,5,Pellet,Left,17,9,13,0,0.12,22,nan
11/29/2025 14:17:46,4129399,1.16.3,5x5TIMED,0,3.65,nan,5,Right,Left,17,10,13,0,nan,nan,0.21
11/29/2025 14:17:53,4136144,1.16.3,5x5TIMED,0,3.65,nan,5,Right,Left,17,11,13,0,nan,nan,0.17
11/29/2025 14:17:54,4137480,1.16.3,5x5TIMED,0,3.65,nan,5,Right,Left,17,12,13,0,nan,nan,0.03
11/29/2025 14:18:04,4147866,1.16.3,5x5TIMED,0,3.65,nan,5,Right,Left,17,13,13,0,nan,nan,0.00
11/29/2025 14:18:10,4153616,1.16.3,5x5TIMED,0,3.65,nan,5,Left,Left,18,13,13,0,nan,nan,0.04
11/29/2025 14:18:13,4156449,1.16.3,5x5TIMED,0,3.65,1,5,Pellet,Left,18,13,14,0,0.06,80,nan
11/29/2025 14:25:12,4575369,1.16.3,5x5TIMED,0,3.65,nan,5,Right,Left,18,14,14,0,nan,nan,0.02
11/29/2025 14:25:23,4586701,1.16.3,5x5TIMED,0,3.64,nan,5,Right,Left,18,15,14,0,nan,nan,0.06
11/29/2025 14:25:30,4593308,1.16.3,5x5TIMED,0,3.65,nan,5,Right,Left,18,16,14,0,nan,nan,0.02
11/29/2025 14:25:37,4600602,1.16.3,5x5TIMED,0,3.65,nan,5,Left,Left,19,16,14,0,nan,nan,0.12
11/29/2025 14:25:41,4604048,1.16.3,5x5TIMED,0,3.65,1,5,Pellet,Left,19,16,15,0,0.55,448,nan
11/29/2025 14:27:54,4737260,1.16.3,5x5TIMED,0,3.65,nan,5,Right,Right,19,17,15,0,nan,nan,0.00
11/29/2025 14:27:57,4740321,1.16.3,5x5TIMED,0,3.65,2,5,Pellet,Right,19,17,16,0,0.06,136,nan
11/29/2025 14:28:25,4768644,1.16.3,5x5TIMED,0,3.65,nan,5,Left,Right,20,17,16,0,nan,nan,0.11
11/29/2025 14:28:41,4784708,1.16.3,5x5TIMED,0,3.65,nan,5,Right,Right,20,18,16,0,nan,nan,0.08
11/29/2025 14:28:46,4789739,1.16.3,5x5TIMED,0,3.65,1,5,Pellet,Right,20,18,17,0,2.20,49,nan
11/29/2025 14:29:03,4806918,1.16.3,5x5TIMED,0,3.65,nan,5,Right,Right,20,19,17,0,nan,nan,0.11
11/29/2025 14:29:07,4810259,1.16.3,5x5TIMED,0,3.65,1,5,Pellet,Right,20,19,18,0,0.49,21,nan
11/29/2025 15:35:24,8787554,1.16.3,5x5TIMED,0,3.65,nan,5,Right,Right,20,20,18,0,nan,nan,0.18
