MM:DD:YYYY hh:mm:ss,time_elapsed_ms,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
12/1/2025 13:23:07,34542,1.16.3,Dual_Port_Feeding,0,3.58,nan,99,Right,Left,0,1,0,0,nan,nan,0.00
12/1/2025 13:23:34,61588,1.16.3,Dual_Port_Feeding,0,3.57,2,99,Pellet,Left,0,1,1,0,23.03,nan,nan
12/1/2025 13:23:43,71050,1.16.3,Dual_Port_Feeding,0,3.57,nan,99,Right,Left,0,2,1,0,nan,nan,0.00
12/1/2025 13:23:51,79180,1.16.3,Dual_Port_Feeding,0,3.57,1,99,Pellet,Left,0,2,2,0,6.37,18,nan
12/1/2025 13:25:51,198737,1.16.3,Dual_Port_Feeding,0,3.58,nan,99,Right,Left,0,3,2,0,nan,nan,0.06
12/1/2025 13:25:55,203223,1.16.3,Dual_Port_Feeding,0,3.57,1,99,Pellet,Left,0,3,3,0,2.69,124,nan
12/1/2025 13:28:28,355619,1.16.3,Dual_Port_Feeding,0,3.58,nan,99,Left,Left,1,3,3,0,nan,nan,0.00
12/1/2025 13:28:31,358545,1.16.3,Dual_Port_Feeding,0,3.57,1,99,Pellet,Left,1,3,4,0,1.09,155,nan
12/1/2025 13:33:36,664291,1.16.3,Dual_Port_Feeding,0,3.57,nan,99,Right,Left,1,4,4,0,nan,nan,0.03
12/1/2025 13:33:39,667349,1.16.3,Dual_Port_Feeding,0,3.57,1,99,Pellet,Left,1,4,5,0,1.28,309,nan
12/1/2025 13:37:56,923807,1.16.3,ProgRatioTIMED,0,3.57,nan,7,Left,Left,2,4,5,0,nan,nan,0.11
12/1/2025 13:42:00,1168256,1.16.3,ProgRatioTIMED,0,3.57,nan,7,Left,Left,3,4,5,0,nan,nan,0.01
12/1/2025 13:42:03,1171185,1.16.3,ProgRatioTIMED,0,3.57,nan,7,Left,Left,4,4,5,0,nan,nan,0.00
12/1/2025 13:42:04,1172092,1.16.3,ProgRatioTIMED,0,3.58,nan,7,Left,Left,5,4,5,0,nan,nan,0.02
12/1/2025 13:42:15,1182974,1.16.3,ProgRatioTIMED,0,3.57,nan,7,Left,Left,6,4,5,0,nan,nan,0.08
12/1/2025 13:43:52,1279722,1.16.3,ProgRatioTIMED,0,3.57,nan,7,Left,Left,7,4,5,0,nan,nan,0.00
12/1/2025 13:45:33,1381054,1.16.3,ProgRatioTIMED,0,3.57,nan,7,Left,Left,8,4,5,0,nan,nan,0.00
12/1/2025 13:46:09,1417042,1.16.3,ProgRatioTIMED,0,3.57,nan,7,LeftWithPellet,Left,9,4,5,0,nan,nan,0.11
12/1/2025 13:46:13,1420614,1.16.3,ProgRatioTIMED,0,3.57,nan,7,RightWithPellet,Left,9,5,5,0,nan,nan,0.14
12/1/2025 13:46:14,1422386,1.16.3,ProgRatioTIMED,0,3.57,nan,7,RightWithPellet,Left,9,6,5,0,nan,nan,0.18
12/1/2025 13:47:39,1507305,1.16.3,ProgRatioTIMED,0,3.57,nan,7,RightWithPellet,Left,9,7,5,0,nan,nan,0.06
12/1/2025 13:48:45,1573489,1.16.3,ProgRatioTIMED,0,3.57,1,7,Pellet,Left,9,7,6,0,Timed_out,906,nan
12/1/2025 14:29:53,4041589,1.16.3,ProgRatioTIMED,0,3.57,nan,8,Left,Left,10,7,6,0,nan,nan,0.38
