MM:DD:YYYY hh:mm:ss,time_elapsed_ms,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/24/2025 16:34:35,3386752,1.16.3,Dual_Port_Feeding,0,3.62,nan,3,Left,Left,1,0,0,0,nan,nan,0.00
9/24/2025 16:35:01,3412745,1.16.3,Dual_Port_Feeding,0,3.62,nan,3,RightWithPellet,Left,1,1,0,0,nan,nan,0.31
9/24/2025 16:35:07,3418043,1.16.3,Dual_Port_Feeding,0,3.62,2,3,Pellet,Left,1,1,1,0,27.40,nan,nan
9/24/2025 16:38:26,3617611,1.16.3,Dual_Port_Feeding,0,3.62,nan,3,Right,Left,1,2,1,0,nan,nan,0.00
9/24/2025 16:39:26,3677425,1.16.3,Dual_Port_Feeding,0,3.62,1,3,Pellet,Left,1,2,2,0,57.99,260,nan
9/24/2025 16:42:17,3848071,1.16.3,Dual_Port_Feeding,0,3.62,nan,3,Right,Left,1,3,2,0,nan,nan,0.49
9/24/2025 16:42:27,3858292,1.16.3,Dual_Port_Feeding,0,3.62,1,3,Pellet,Left,1,3,3,0,8.50,181,nan
9/24/2025 16:43:29,3920748,1.16.3,Dual_Port_Feeding,0,3.63,nan,3,Right,Left,1,4,3,0,nan,nan,0.35
9/24/2025 16:43:31,3922254,1.16.3,Dual_Port_Feeding,0,3.63,nan,3,RightDuringDispense,Left,1,5,3,0,nan,nan,0.73
9/24/2025 16:43:32,3923204,1.16.3,Dual_Port_Feeding,0,3.58,nan,3,RightDuringDispense,Left,1,6,3,0,nan,nan,0.52
9/24/2025 16:43:36,3927889,1.16.3,Dual_Port_Feeding,0,3.63,1,3,Pellet,Left,1,6,4,0,3.16,69,nan
9/24/2025 16:44:27,3978613,1.16.3,Dual_Port_Feeding,0,3.63,nan,3,Left,Left,2,6,4,0,nan,nan,0.00
9/24/2025 16:44:31,3981982,1.16.3,Dual_Port_Feeding,0,3.62,1,3,Pellet,Left,2,6,5,0,1.70,54,nan
9/24/2025 16:44:55,4006395,1.16.3,Dual_Port_Feeding,0,3.62,nan,3,Right,Left,2,7,5,0,nan,nan,0.00
9/24/2025 16:44:56,4007228,1.16.3,Dual_Port_Feeding,0,3.58,nan,3,RightDuringDispense,Left,2,8,5,0,nan,nan,0.03
9/24/2025 16:44:58,4009707,1.16.3,Dual_Port_Feeding,0,3.62,1,3,Pellet,Left,2,8,6,0,1.01,28,nan
9/24/2025 16:45:27,4038075,1.16.3,Dual_Port_Feeding,0,3.63,nan,3,Right,Left,2,9,6,0,nan,nan,0.05
9/24/2025 16:45:29,4040683,1.16.3,Dual_Port_Feeding,0,3.63,1,3,Pellet,Left,2,9,7,0,0.82,31,nan
9/24/2025 16:46:21,4092051,1.16.3,Dual_Port_Feeding,0,3.63,nan,3,Left,Left,3,9,7,0,nan,nan,0.00
9/24/2025 16:46:21,4092847,1.16.3,Dual_Port_Feeding,0,3.63,nan,3,LeftDuringDispense,Left,4,9,7,0,nan,nan,0.02
