MM:DD:YYYY hh:mm:ss,time_elapsed_ms,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/22/2026 16:26:38,2274736,1.16.3,5x5TIMED,0,3.78,nan,5,Left,Left,1,0,0,0,nan,nan,0.08
3/22/2026 16:27:20,2316462,1.16.3,5x5TIMED,0,3.77,nan,5,LeftWithPellet,Left,2,0,0,0,nan,nan,0.10
3/22/2026 16:27:29,2325610,1.16.3,5x5TIMED,0,3.78,nan,5,RightWithPellet,Left,2,1,0,0,nan,nan,0.34
3/22/2026 18:30:54,9730774,1.16.3,5x5TIMED,0,3.76,3,5,Pellet,Left,2,1,1,0,Timed_out,nan,nan
3/22/2026 18:31:54,9791194,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Left,3,1,1,0,nan,nan,0.46
3/22/2026 18:31:59,9796266,1.16.3,5x5TIMED,0,3.77,1,5,Pellet,Left,3,1,2,0,2.08,65,nan
3/22/2026 18:40:29,10306208,1.16.3,5x5TIMED,0,3.77,nan,5,Left,Left,4,1,2,0,nan,nan,0.00
3/22/2026 18:40:42,10319622,1.16.3,5x5TIMED,0,3.76,1,5,Pellet,Left,4,1,3,0,10.60,523,nan
3/22/2026 18:44:08,10525449,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Left,4,2,3,0,nan,nan,0.40
3/22/2026 18:44:09,10526576,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Left,4,3,3,0,nan,nan,0.07
3/22/2026 18:45:18,10595026,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Left,4,4,3,0,nan,nan,0.50
3/22/2026 18:48:38,10795553,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Left,4,5,3,0,nan,nan,0.00
3/22/2026 19:00:13,11490315,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Left,4,6,3,0,nan,nan,0.00
3/22/2026 19:00:25,11502225,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Left,5,6,3,0,nan,nan,0.00
3/22/2026 19:00:31,11507759,1.16.3,5x5TIMED,0,3.77,1,5,Pellet,Left,5,6,4,0,2.53,1188,nan
3/22/2026 19:06:15,11852084,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Left,6,6,4,0,nan,nan,0.00
3/22/2026 19:06:20,11856778,1.16.3,5x5TIMED,0,3.76,1,5,Pellet,Left,6,6,5,0,1.77,349,nan
3/22/2026 19:07:38,11934968,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Right,7,6,5,0,nan,nan,0.00
3/22/2026 19:11:03,12140689,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Right,7,7,5,0,nan,nan,0.01
3/22/2026 19:11:07,12144389,1.16.3,5x5TIMED,0,3.77,1,5,Pellet,Right,7,7,6,0,0.75,288,nan
3/22/2026 19:13:31,12288653,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Right,8,7,6,0,nan,nan,0.00
3/22/2026 19:16:57,12493805,1.16.3,5x5TIMED,0,3.77,nan,5,Right,Right,8,8,6,0,nan,nan,0.11
3/22/2026 19:17:01,12498702,1.16.3,5x5TIMED,0,3.76,1,5,Pellet,Right,8,8,7,0,1.96,354,nan
3/22/2026 19:32:15,13412018,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Right,8,9,7,0,nan,nan,0.00
3/22/2026 19:32:19,13416408,1.16.3,5x5TIMED,0,3.76,1,5,Pellet,Right,8,9,8,0,1.39,918,nan
3/22/2026 19:32:39,13436396,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Right,9,9,8,0,nan,nan,0.00
3/22/2026 19:39:37,13854347,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Right,10,9,8,0,nan,nan,0.04
3/22/2026 19:39:43,13860617,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Right,11,9,8,0,nan,nan,0.08
3/22/2026 19:47:28,14324883,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Right,12,9,8,0,nan,nan,0.00
3/22/2026 19:47:38,14334992,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Right,12,10,8,0,nan,nan,0.00
3/22/2026 19:47:46,14342815,1.16.3,5x5TIMED,0,3.76,1,5,Pellet,Right,12,10,9,0,4.88,926,nan
3/22/2026 19:52:44,14641379,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Right,12,11,9,0,nan,nan,0.04
3/22/2026 19:52:48,14644991,1.16.3,5x5TIMED,0,3.76,1,5,Pellet,Right,12,11,10,0,0.69,303,nan
3/22/2026 19:53:41,14698550,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Left,12,12,10,0,nan,nan,0.00
3/22/2026 19:56:04,14841438,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Left,12,13,10,0,nan,nan,0.00
3/22/2026 19:56:22,14859438,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Left,12,14,10,0,nan,nan,0.00
3/22/2026 19:57:07,14904773,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Left,12,15,10,0,nan,nan,0.13
3/22/2026 19:58:04,14961767,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Left,12,16,10,0,nan,nan,0.00
3/22/2026 20:10:36,15713110,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Left,12,17,10,0,nan,nan,0.00
3/22/2026 20:18:17,16174274,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Left,13,17,10,0,nan,nan,0.08
3/22/2026 20:18:23,16179886,1.16.3,5x5TIMED,0,3.76,1,5,Pellet,Left,13,17,11,0,2.66,1534,nan
3/22/2026 20:22:34,16431377,1.16.3,5x5TIMED,0,3.75,nan,5,Right,Left,13,18,11,0,nan,nan,0.03
3/22/2026 20:24:38,16555559,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Left,14,18,11,0,nan,nan,0.02
3/22/2026 20:24:43,16560458,1.16.3,5x5TIMED,0,3.76,1,5,Pellet,Left,14,18,12,0,1.96,381,nan
3/22/2026 20:25:12,16589580,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Left,15,18,12,0,nan,nan,0.00
3/22/2026 20:25:17,16594810,1.16.3,5x5TIMED,0,3.76,1,5,Pellet,Left,15,18,13,0,2.28,34,nan
3/22/2026 20:25:54,16631814,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Left,15,19,13,0,nan,nan,0.00
3/22/2026 20:27:02,16699773,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Left,15,20,13,0,nan,nan,0.00
3/22/2026 20:27:23,16720514,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Left,15,21,13,0,nan,nan,0.00
3/22/2026 20:27:51,16747893,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Left,15,22,13,0,nan,nan,0.00
3/22/2026 20:28:50,16807724,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Left,15,23,13,0,nan,nan,0.00
3/22/2026 20:28:57,16814539,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Left,15,24,13,0,nan,nan,0.00
3/22/2026 20:29:09,16826198,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Left,16,24,13,0,nan,nan,0.00
3/22/2026 20:29:14,16831045,1.16.3,5x5TIMED,0,3.76,1,5,Pellet,Left,16,24,14,0,1.90,237,nan
3/22/2026 20:29:52,16869271,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Left,16,25,14,0,nan,nan,0.00
3/22/2026 20:30:50,16926963,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Left,16,26,14,0,nan,nan,0.00
3/22/2026 20:32:00,16997757,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Left,16,27,14,0,nan,nan,0.11
3/22/2026 20:33:21,17078214,1.16.3,5x5TIMED,0,3.75,nan,5,Right,Left,16,28,14,0,nan,nan,0.09
3/22/2026 20:33:41,17098136,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Left,16,29,14,0,nan,nan,0.08
3/22/2026 20:34:31,17148857,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Left,16,30,14,0,nan,nan,0.00
3/22/2026 20:43:10,17667368,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Left,17,30,14,0,nan,nan,0.00
3/22/2026 20:43:14,17670956,1.16.3,5x5TIMED,0,3.76,1,5,Pellet,Left,17,30,15,0,0.63,839,nan
3/22/2026 20:44:01,17718546,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Right,18,30,15,0,nan,nan,0.00
3/22/2026 20:44:08,17725663,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Right,19,30,15,0,nan,nan,0.00
3/22/2026 20:44:39,17756387,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Right,19,31,15,0,nan,nan,0.00
3/22/2026 20:44:45,17762226,1.16.3,5x5TIMED,0,3.76,1,5,Pellet,Right,19,31,16,0,2.85,92,nan
3/22/2026 20:45:29,17806777,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Right,19,32,16,0,nan,nan,0.00
3/22/2026 20:45:33,17810278,1.16.3,5x5TIMED,0,3.76,1,5,Pellet,Right,19,32,17,0,0.56,48,nan
3/22/2026 20:46:02,17839101,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Right,19,33,17,0,nan,nan,0.00
3/22/2026 20:46:06,17843656,1.16.3,5x5TIMED,0,3.76,1,5,Pellet,Right,19,33,18,0,1.58,33,nan
3/22/2026 20:46:47,17884628,1.16.3,5x5TIMED,0,3.75,nan,5,Left,Right,20,33,18,0,nan,nan,0.00
3/22/2026 20:48:29,17986609,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Right,21,33,18,0,nan,nan,0.00
3/22/2026 20:49:37,18054338,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Right,22,33,18,0,nan,nan,0.03
3/22/2026 20:53:12,18269104,1.16.3,5x5TIMED,0,3.75,nan,5,Right,Right,22,34,18,0,nan,nan,0.00
3/22/2026 20:53:15,18272824,1.16.3,5x5TIMED,0,3.76,1,5,Pellet,Right,22,34,19,0,0.75,429,nan
3/22/2026 20:54:15,18331984,1.16.3,5x5TIMED,0,3.75,nan,5,Left,Right,23,34,19,0,nan,nan,0.00
3/22/2026 20:54:17,18334260,1.16.3,5x5TIMED,0,3.75,nan,5,Left,Right,24,34,19,0,nan,nan,0.00
3/22/2026 20:54:32,18348947,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Right,24,35,19,0,nan,nan,0.00
3/22/2026 20:54:35,18352047,1.16.3,5x5TIMED,0,3.76,1,5,Pellet,Right,24,35,20,0,0.19,80,nan
3/22/2026 20:58:38,18595943,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Left,24,36,20,0,nan,nan,0.00
3/22/2026 21:02:53,18850412,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Left,25,36,20,0,nan,nan,0.00
3/22/2026 21:02:58,18855768,1.16.3,5x5TIMED,0,3.76,1,5,Pellet,Left,25,36,21,0,2.41,503,nan
3/22/2026 21:03:22,18879771,1.16.3,5x5TIMED,0,3.75,nan,5,Left,Left,26,36,21,0,nan,nan,0.00
3/22/2026 21:03:26,18883345,1.16.3,5x5TIMED,0,3.76,1,5,Pellet,Left,26,36,22,0,0.69,28,nan
3/22/2026 21:03:50,18907372,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Left,27,36,22,0,nan,nan,0.00
3/22/2026 21:03:54,18911890,1.16.3,5x5TIMED,0,3.76,1,5,Pellet,Left,27,36,23,0,1.58,28,nan
3/22/2026 21:04:56,18973765,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Left,28,36,23,0,nan,nan,0.00
3/22/2026 21:05:01,18978004,1.16.3,5x5TIMED,0,3.75,1,5,Pellet,Left,28,36,24,0,1.20,66,nan
3/22/2026 21:06:25,19062360,1.16.3,5x5TIMED,0,3.75,nan,5,Left,Left,29,36,24,0,nan,nan,0.00
3/22/2026 21:06:30,19067248,1.16.3,5x5TIMED,0,3.75,1,5,Pellet,Left,29,36,25,0,1.96,90,nan
3/22/2026 21:06:47,19084791,1.16.3,5x5TIMED,0,3.75,nan,5,Left,Right,30,36,25,0,nan,nan,0.19
3/22/2026 21:07:21,19118009,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Right,31,36,25,0,nan,nan,0.03
3/22/2026 21:07:41,19138763,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Right,32,36,25,0,nan,nan,0.01
3/22/2026 21:08:21,19178021,1.16.3,5x5TIMED,0,3.75,nan,5,Left,Right,33,36,25,0,nan,nan,0.00
3/22/2026 21:11:06,19343349,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Right,34,36,25,0,nan,nan,0.00
3/22/2026 21:12:25,19422534,1.16.3,5x5TIMED,0,3.75,nan,5,Left,Right,35,36,25,0,nan,nan,0.03
3/22/2026 21:12:43,19440860,1.16.3,5x5TIMED,0,3.75,nan,5,Right,Right,35,37,25,0,nan,nan,0.00
3/22/2026 21:12:47,19444405,1.16.3,5x5TIMED,0,3.75,1,5,Pellet,Right,35,37,26,0,0.56,377,nan
3/22/2026 21:13:19,19476477,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Right,36,37,26,0,nan,nan,0.20
3/22/2026 21:14:03,19520259,1.16.3,5x5TIMED,0,3.75,nan,5,Left,Right,37,37,26,0,nan,nan,0.02
3/22/2026 21:15:19,19596670,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Right,38,37,26,0,nan,nan,0.00
3/22/2026 21:15:21,19598335,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Right,39,37,26,0,nan,nan,0.00
3/22/2026 21:15:46,19623621,1.16.3,5x5TIMED,0,3.75,nan,5,Left,Right,40,37,26,0,nan,nan,0.00
3/22/2026 21:15:53,19630740,1.16.3,5x5TIMED,0,3.75,nan,5,Left,Right,41,37,26,0,nan,nan,0.00
3/22/2026 21:16:04,19641782,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Right,42,37,26,0,nan,nan,0.00
3/22/2026 21:16:54,19691288,1.16.3,5x5TIMED,0,3.75,nan,5,Right,Right,42,38,26,0,nan,nan,0.00
3/22/2026 21:16:57,19694909,1.16.3,5x5TIMED,0,3.75,1,5,Pellet,Right,42,38,27,0,0.75,250,nan
3/22/2026 21:17:40,19737424,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Right,42,39,27,0,nan,nan,0.08
3/22/2026 21:17:43,19740456,1.16.3,5x5TIMED,0,3.75,1,5,Pellet,Right,42,39,28,0,0.06,46,nan
3/22/2026 21:18:41,19798392,1.16.3,5x5TIMED,0,3.75,nan,5,Left,Right,43,39,28,0,nan,nan,0.00
3/22/2026 21:18:49,19806152,1.16.3,5x5TIMED,0,3.75,nan,5,Left,Right,44,39,28,0,nan,nan,0.04
3/22/2026 21:19:18,19835678,1.16.3,5x5TIMED,0,3.75,nan,5,Right,Right,44,40,28,0,nan,nan,0.00
3/22/2026 21:19:21,19838832,1.16.3,5x5TIMED,0,3.75,1,5,Pellet,Right,44,40,29,0,0.19,98,nan
3/22/2026 21:25:46,20223819,1.16.3,5x5TIMED,0,3.76,nan,5,Left,Right,45,40,29,0,nan,nan,0.06
3/22/2026 21:26:08,20245185,1.16.3,5x5TIMED,0,3.74,nan,5,Left,Right,46,40,29,0,nan,nan,0.00
3/22/2026 21:26:16,20253604,1.16.3,5x5TIMED,0,3.75,nan,5,Left,Right,47,40,29,0,nan,nan,0.08
3/22/2026 21:26:34,20271021,1.16.3,5x5TIMED,0,3.75,nan,5,Left,Right,48,40,29,0,nan,nan,0.00
3/22/2026 21:26:52,20289662,1.16.3,5x5TIMED,0,3.75,nan,5,Left,Right,49,40,29,0,nan,nan,0.00
3/22/2026 21:27:07,20304971,1.16.3,5x5TIMED,0,3.75,nan,5,Right,Right,49,41,29,0,nan,nan,0.01
3/22/2026 21:27:10,20307985,1.16.3,5x5TIMED,0,3.75,1,5,Pellet,Right,49,41,30,0,0.12,469,nan
3/22/2026 21:27:38,20335293,1.16.3,5x5TIMED,0,3.75,nan,5,Right,Left,49,42,30,0,nan,nan,0.00
3/22/2026 21:27:42,20339399,1.16.3,5x5TIMED,0,3.75,nan,5,Right,Left,49,43,30,0,nan,nan,0.02
3/22/2026 21:27:45,20342881,1.16.3,5x5TIMED,0,3.75,nan,5,Right,Left,49,44,30,0,nan,nan,0.00
3/22/2026 21:27:56,20353019,1.16.3,5x5TIMED,0,3.75,nan,5,Right,Left,49,45,30,0,nan,nan,0.00
3/22/2026 21:28:41,20398122,1.16.3,5x5TIMED,0,3.75,nan,5,Right,Left,49,46,30,0,nan,nan,0.10
3/22/2026 21:28:44,20401609,1.16.3,5x5TIMED,0,3.75,nan,5,Right,Left,49,47,30,0,nan,nan,0.00
3/22/2026 21:29:02,20419743,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Left,49,48,30,0,nan,nan,0.11
3/22/2026 21:29:08,20425650,1.16.3,5x5TIMED,0,3.75,nan,5,Right,Left,49,49,30,0,nan,nan,0.00
3/22/2026 21:29:13,20430634,1.16.3,5x5TIMED,0,3.75,nan,5,Right,Left,49,50,30,0,nan,nan,0.29
3/22/2026 21:29:24,20441857,1.16.3,5x5TIMED,0,3.75,nan,5,Left,Left,50,50,30,0,nan,nan,0.16
3/22/2026 21:29:29,20446614,1.16.3,5x5TIMED,0,3.75,1,5,Pellet,Left,50,50,31,0,1.77,139,nan
3/22/2026 21:30:13,20490610,1.16.3,5x5TIMED,0,3.75,nan,5,Left,Left,51,50,31,0,nan,nan,0.00
3/22/2026 21:30:17,20494155,1.16.3,5x5TIMED,0,3.75,2,5,Pellet,Left,51,50,32,0,0.50,48,nan
3/22/2026 21:30:26,20503618,1.16.3,5x5TIMED,0,3.75,nan,5,Left,Left,52,50,32,0,nan,nan,0.00
3/22/2026 21:30:33,20510303,1.16.3,5x5TIMED,0,3.75,2,5,Pellet,Left,52,50,33,0,1.77,16,nan
3/22/2026 21:30:50,20527955,1.16.3,5x5TIMED,0,3.75,nan,5,Left,Left,53,50,33,0,nan,nan,0.00
3/22/2026 21:30:54,20531965,1.16.3,5x5TIMED,0,3.75,1,5,Pellet,Left,53,50,34,0,1.07,21,nan
3/22/2026 21:31:28,20565345,1.16.3,5x5TIMED,0,3.75,nan,5,Right,Left,53,51,34,0,nan,nan,0.00
3/22/2026 21:31:33,20570046,1.16.3,5x5TIMED,0,3.75,nan,5,Right,Left,53,52,34,0,nan,nan,0.01
3/22/2026 21:31:50,20587152,1.16.3,5x5TIMED,0,3.75,nan,5,Left,Left,54,52,34,0,nan,nan,0.00
3/22/2026 21:31:53,20590785,1.16.3,5x5TIMED,0,3.75,1,5,Pellet,Left,54,52,35,0,0.69,59,nan
3/22/2026 21:32:01,20598426,1.16.3,5x5TIMED,0,3.76,nan,5,Right,Right,54,53,35,0,nan,nan,0.00
3/22/2026 21:32:07,20604866,1.16.3,5x5TIMED,0,3.75,2,5,Pellet,Right,54,53,36,0,1.45,14,nan
3/22/2026 21:32:35,20632213,1.16.3,5x5TIMED,0,3.75,nan,5,Left,Right,55,53,36,0,nan,nan,0.00
3/22/2026 21:32:38,20635700,1.16.3,5x5TIMED,0,3.75,nan,5,Left,Right,56,53,36,0,nan,nan,0.00
3/22/2026 21:32:39,20636760,1.16.3,5x5TIMED,0,3.75,nan,5,Left,Right,57,53,36,0,nan,nan,0.00
3/22/2026 21:33:35,20692364,1.16.3,5x5TIMED,0,3.75,nan,5,Left,Right,58,53,36,0,nan,nan,0.00
3/22/2026 21:33:37,20694550,1.16.3,5x5TIMED,0,3.75,nan,5,Left,Right,59,53,36,0,nan,nan,0.22
3/22/2026 21:33:57,20714713,1.16.3,5x5TIMED,0,3.75,nan,5,Right,Right,59,54,36,0,nan,nan,0.00
3/22/2026 21:34:07,20724966,1.16.3,5x5TIMED,0,3.75,5,5,Pellet,Right,59,54,37,0,0.63,120,nan
3/22/2026 21:34:19,20736543,1.16.3,5x5TIMED,0,3.75,nan,5,Right,Right,59,55,37,0,nan,nan,0.00
3/22/2026 21:34:25,20742311,1.16.3,5x5TIMED,0,3.75,3,5,Pellet,Right,59,55,38,0,0.50,18,nan
3/22/2026 21:35:52,20829697,1.16.3,5x5TIMED,0,3.75,nan,5,Right,Right,59,56,38,0,nan,nan,0.00
3/22/2026 21:35:56,20833457,1.16.3,5x5TIMED,0,3.75,1,5,Pellet,Right,59,56,39,0,0.76,91,nan
3/22/2026 21:36:05,20842318,1.16.3,5x5TIMED,0,3.75,nan,5,Right,Right,59,57,39,0,nan,nan,0.00
3/22/2026 21:36:44,20881810,1.16.3,5x5TIMED,0,3.75,nan,5,RightDuringDispense,Right,59,58,39,0,nan,nan,0.08
3/22/2026 21:36:49,20886378,1.16.3,5x5TIMED,0,3.75,15,5,Pellet,Right,59,58,40,0,0.76,53,nan
3/22/2026 21:38:04,20961594,1.16.3,5x5TIMED,0,3.75,nan,5,Right,Left,59,59,40,0,nan,nan,0.00
3/22/2026 21:38:05,20962657,1.16.3,5x5TIMED,0,3.74,nan,5,Right,Left,59,60,40,0,nan,nan,0.00
3/22/2026 21:38:09,20966543,1.16.3,5x5TIMED,0,3.74,nan,5,Right,Left,59,61,40,0,nan,nan,0.10
3/22/2026 21:38:11,20968396,1.16.3,5x5TIMED,0,3.75,nan,5,Right,Left,59,62,40,0,nan,nan,0.19
3/22/2026 21:38:15,20973013,1.16.3,5x5TIMED,0,3.75,nan,5,Right,Left,59,63,40,0,nan,nan,0.53
