MM:DD:YYYY hh:mm:ss,time_elapsed_ms,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
10/3/2025 10:39:46,278776,1.16.3,Dual_Port_Feeding,0,3.76,nan,99,Left,Left,1,0,0,0,nan,nan,1.02
10/3/2025 10:40:06,299254,1.16.3,Dual_Port_Feeding,0,3.76,nan,99,RightWithPellet,Left,1,1,0,0,nan,nan,0.33
10/3/2025 10:40:11,303784,1.16.3,Dual_Port_Feeding,0,3.76,3,99,Pellet,Left,1,1,1,0,19.16,nan,nan
10/3/2025 10:42:54,466658,1.16.3,Dual_Port_Feeding,0,3.75,nan,99,Left,Left,2,1,1,0,nan,nan,0.68
10/3/2025 10:42:54,467371,1.16.3,Dual_Port_Feeding,0,3.76,nan,99,LeftDuringDispense,Left,3,1,1,0,nan,nan,0.04
10/3/2025 10:42:57,469953,1.16.3,Dual_Port_Feeding,0,3.76,1,99,Pellet,Left,3,1,2,0,1.34,166,nan
10/3/2025 10:44:12,544959,1.16.3,Dual_Port_Feeding,0,3.75,nan,99,Left,Left,4,1,2,0,nan,nan,0.31
10/3/2025 10:44:30,562620,1.16.3,Dual_Port_Feeding,0,3.76,1,99,Pellet,Left,4,1,3,0,15.95,93,nan
10/3/2025 10:45:07,599980,1.16.3,Dual_Port_Feeding,0,3.76,nan,99,Left,Left,5,1,3,0,nan,nan,0.00
10/3/2025 10:45:11,603537,1.16.3,Dual_Port_Feeding,0,3.76,1,99,Pellet,Left,5,1,4,0,1.83,40,nan
10/3/2025 10:45:51,643823,1.16.3,Dual_Port_Feeding,0,3.76,nan,99,Left,Left,6,1,4,0,nan,nan,0.00
10/3/2025 10:46:18,671244,1.16.3,Dual_Port_Feeding,0,3.76,2,99,Pellet,Left,6,1,5,0,23.71,68,nan
10/3/2025 10:47:12,724745,1.16.3,ProgRatioTIMED,0,3.75,nan,3,Right,Left,6,2,5,0,nan,nan,0.00
10/3/2025 10:47:17,729649,1.16.3,ProgRatioTIMED,0,3.75,nan,3,Right,Left,6,3,5,0,nan,nan,0.03
10/3/2025 10:47:19,732256,1.16.3,ProgRatioTIMED,0,3.76,nan,3,Left,Left,7,3,5,0,nan,nan,0.08
10/3/2025 10:47:23,735913,1.16.3,ProgRatioTIMED,0,3.75,1,3,Pellet,Left,7,3,6,0,1.89,65,nan
10/3/2025 10:47:59,771883,1.16.3,ProgRatioTIMED,0,3.75,nan,2,Left,Left,8,3,6,0,nan,nan,0.00
10/3/2025 10:49:43,875899,1.16.3,ProgRatioTIMED,0,3.76,nan,2,Right,Left,8,4,6,0,nan,nan,0.00
10/3/2025 10:49:44,876717,1.16.3,ProgRatioTIMED,0,3.76,nan,2,RightDuringDispense,Left,8,5,6,0,nan,nan,0.15
10/3/2025 10:49:44,877508,1.16.3,ProgRatioTIMED,0,3.72,nan,2,RightDuringDispense,Left,8,6,6,0,nan,nan,0.46
10/3/2025 10:49:45,877969,1.16.3,ProgRatioTIMED,0,3.72,nan,2,RightDuringDispense,Left,8,7,6,0,nan,nan,0.14
10/3/2025 10:50:12,905264,1.16.3,ProgRatioTIMED,0,3.75,1,2,Pellet,Left,8,7,7,0,26.00,169,nan
