Bird,Day,Trial,Site,Time,EventType
black15,1,1,60,975.777292753101,3
black15,1,1,36,989.124160390851,3
black15,1,1,39,994.711628601404,1
black15,1,1,39,998.214743466955,2
black15,1,1,48,1033.68378148066,3
black15,1,1,56,1049.29015820669,3
black15,1,1,13,1058.87117736397,3
black15,1,1,28,1062.47938567549,3
black15,1,1,30,1069.74834902151,3
black15,1,1,29,1070.65915888655,3
black15,1,1,38,1076.07147135383,3
black15,1,1,39,1078.66377635433,3
black15,1,1,48,1080.3452714898,3
black15,1,1,24,1088.2973422346,3
black15,1,1,7,1095.04083835078,3
black15,1,1,13,1097.47550318234,3
black15,1,1,5,1100.83849345327,3
black15,1,1,25,1107.44186497483,3
black15,1,1,50,1112.17107004333,3
black15,1,1,52,1114.69331274653,3
black15,1,1,60,1148.30569988149,3
black15,1,1,53,1150.74036471304,3
black15,1,1,35,1161.51244292461,3
black15,1,1,36,1162.65095525592,3
black15,1,1,9,1172.12688096723,3
black15,1,1,26,1173.51061133913,3
black15,1,1,25,1175.12204417728,3
black15,1,1,62,1196.31588911386,2
black15,1,1,39,1212.44773306973,3
black15,1,1,7,1218.73582425339,3
black15,1,1,3,1229.9107606745,3
black15,1,1,9,1233.20368864812,3
black15,1,1,41,1240.01724706161,3
black15,1,1,52,1245.91999561007,2
black15,1,1,41,1334.19849022195,3
black15,1,1,58,1337.92930755376,3
black15,1,1,52,1339.66334941221,3
black15,1,1,59,1343.77950937923,3
black15,1,1,64,1352.11692275924,3
black15,1,1,58,1416.43411169076,3
black15,1,1,60,1421.7588462864,3
black15,1,1,5,1514.32865660858,1
black15,1,1,3,1528.76148985465,3
black15,1,1,25,1535.50498597084,3
black15,1,1,41,1560.32455479327,3
black15,1,2,36,1752.68327002222,3
black15,1,2,54,1758.864855153,3
black15,1,2,40,1763.41786403119,3
black15,1,2,13,1773.87227287843,3
black15,1,2,29,1780.00132329139,3
black15,1,2,11,1790.35066270298,3
black15,1,2,26,1791.96172738296,3
black15,1,2,25,1792.76725972295,3
black15,1,2,50,1797.60045376288,3
black15,1,2,52,1803.43180744149,3
black15,1,2,53,1806.40877478493,3
black15,1,2,62,1807.61707329491,3
black15,1,2,56,1810.54150592052,3
black15,1,2,47,1812.83552193222,3
black15,1,2,39,1813.69358899004,3
black15,1,2,24,1818.85950290953,3
black15,1,2,32,1820.06780141951,1
black15,1,2,32,1823.5701159412,2
black15,1,2,31,1848.36650275476,3
black15,1,2,24,1852.604303326,3
black15,1,2,15,1854.28541429641,3
black15,1,2,5,1857.63012466463,2
black15,1,2,13,1864.02184866671,3
black15,1,2,3,1868.24213766534,3
black15,1,2,10,1869.71310976445,3
black15,2,1,33,737.306222233804,3
black15,2,1,41,743.565485133492,3
black15,2,1,52,748.755238125951,3
black15,2,1,43,755.277495265121,3
black15,2,1,35,756.452202868144,3
black15,2,1,42,758.749019226293,3
black15,2,1,42,758.924348719281,3
black15,2,1,50,760.204254018097,3
black15,2,1,60,764.25436530613,3
black15,2,1,53,764.86801853159,3
black15,2,1,62,767.357697332026,3
black15,2,1,55,768.988261616818,3
black15,2,1,40,772.354587882197,3
black15,2,1,24,775.913776589862,3
black15,2,1,5,777.439143178862,3
black15,2,1,50,789.905070130341,3
black15,2,1,35,792.727874967455,3
black15,2,1,44,799.232599157327,3
black15,2,1,60,800.810564594223,3
black15,2,1,53,803.422974039751,3
black15,2,1,27,817.677261819713,3
black15,2,1,20,819.027298915724,3
black15,2,1,3,825.146298221021,3
black15,2,1,9,829.371739002043,3
black15,2,1,50,833.579646833766,3
black15,2,1,60,836.016726786305,3
black15,2,1,53,836.788176555455,3
black15,2,1,9,853.356813642864,3
black15,2,1,34,860.387526311701,3
black15,2,1,52,863.701253729183,3
black15,2,1,62,869.346863403411,3
black15,2,1,39,872.888519161778,3
black15,2,1,45,876.026917086271,1
black15,2,1,39,880.30495671519,3
black15,2,1,31,883.601151183372,3
black15,2,1,24,885.30184726536,3
black15,2,1,5,889.86041408306,3
black15,2,1,1,895.646287351679,1
black15,2,1,2,898.469092188794,3
black15,2,1,9,900.520447256759,3
black15,2,1,9,900.625644952552,3
black15,2,1,25,901.537358316092,3
black15,2,1,34,902.028280896459,3
black15,2,1,44,910.040838726032,3
black15,2,1,44,910.251234117618,3
black15,2,1,38,913.827955774582,3
black15,2,1,29,918.772247476857,3
black15,2,1,28,929.607610143543,3
black15,2,1,42,935.88440599253,3
black15,2,1,52,937.392239632231,3
black15,2,1,62,941.722878109046,3
black15,2,1,55,945.632725802688,3
black15,2,1,55,961.412380171649,3
black15,2,1,40,966.479402519016,3
black15,2,1,31,967.075522795177,3
black15,2,1,24,973.352318644163,3
black15,2,1,14,975.98226103899,3
black15,2,1,13,977.069303895519,3
black15,2,1,10,983.57402808539,3
black15,2,1,26,985.344855964574,3
black15,2,1,41,990.446944210538,3
black15,2,1,60,999.862137984018,3
black15,2,1,53,1000.54592300667,3
black15,2,1,44,1022.9880981092,3
black15,2,1,60,1026.07389718579,3
black15,2,1,53,1029.49282229907,3
black15,2,1,26,1041.62562321387,3
black15,2,1,17,1042.50227067881,3
black15,2,1,34,1048.93686307149,3
black15,2,1,44,1051.65447021281,3
black15,2,1,58,1060.59627435522,3
black15,2,1,49,1066.85553725491,3
black15,2,1,51,1072.37841628404,3
black15,2,1,60,1076.0954015354,3
black15,2,1,62,1077.83116351598,3
black15,2,1,55,1080.49617180941,3
black15,2,1,39,1081.72347826033,3
black15,2,1,24,1085.1599363229,3
black15,2,1,5,1087.22882434017,3
black15,2,1,1,1097.99405520966,3
black15,2,1,10,1104.9546360813,3
black15,2,1,3,1116.15819068326,3
black15,2,1,42,1122.15445934347,3
black15,2,1,50,1123.96035312125,3
black15,2,1,50,1124.11814966494,3
black15,2,1,60,1126.71302616117,3
black15,2,1,53,1128.44878814175,3
black15,2,1,42,1145.45574896163,3
black15,2,1,52,1146.50772591956,3
black15,2,1,55,1150.99616094007,3
black15,2,1,15,1155.29173351828,3
black15,2,1,5,1156.48397407061,3
black15,2,1,11,1163.00623120978,3
black15,2,1,26,1165.32058051722,3
black15,2,1,34,1170.87852544496,3
black15,2,1,58,1175.05136737808,3
black15,2,1,52,1177.68130977291,3
black15,2,1,54,1180.11838972545,3
black15,2,1,45,1181.71388811165,3
black15,2,1,56,1192.91744271361,3
black15,2,1,39,1201.96444455181,3
black15,2,1,40,1205.38336966509,3
black15,2,1,23,1207.10159869637,3
black15,2,1,7,1210.25752957017,3
black15,2,1,24,1222.17993509338,3
black15,2,1,31,1229.19311481292,3
black15,2,1,39,1266.81882400824,3
black15,2,1,5,1277.40872538474,3
black15,2,1,9,1322.99439356174,3
black15,2,1,26,1332.7427133719,3
black15,2,1,20,1338.31819124893,3
black15,3,1,3,857.169865091897,3
black15,3,1,10,860.255128454792,3
black15,3,1,9,861.885409663595,3
black15,3,1,26,863.340391817688,3
black15,3,1,41,866.776253290003,3
black15,3,1,60,869.72127740913,3
black15,3,1,53,871.036020319455,3
black15,3,1,62,875.032838766843,3
black15,3,1,55,875.856744323979,3
black15,3,1,45,879.117306741585,3
black15,3,1,39,884.744406397775,3
black15,3,1,40,885.691021293209,3
black15,3,1,31,886.58504647223,3
black15,3,1,24,887.882259477083,3
black15,3,1,5,890.266326621139,3
black15,3,1,3,893.947606770049,3
black15,3,1,9,895.087050625663,3
black15,3,1,25,898.943629829283,3
black15,3,1,25,902.94044827667,2
black15,3,2,52,1908.24262598773,3
black15,3,2,35,1913.49694542644,3
black15,3,2,41,1915.84387477572,3
black15,3,2,58,1917.98063134746,3
black15,3,2,52,1919.31172560527,3
black15,3,2,39,1924.07564189636,3
black15,3,2,48,1925.07396258971,3
black15,3,2,26,1980.1392303073,3
black15,3,2,51,1991.59364668367,3
black15,3,2,60,1996.48016376166,3
black15,3,2,53,1997.12819649244,3
black15,3,2,55,2000.19321616501,3
black15,3,2,31,2002.62771750494,3
black15,3,2,13,2020.49240359653,3
black15,3,2,3,2025.41394947078,3
black15,3,2,18,2028.30382516207,3
black15,3,2,25,2029.5298330311,3
black15,3,2,34,2030.30046654877,3
black15,3,2,52,2061.14332165395,3
black15,3,2,39,2067.18578900846,3
black15,3,2,5,2071.80959011451,3
black15,3,2,44,2093.86021735893,3
black15,3,2,37,2095.19131161674,3
black15,3,2,38,2098.7292200388,3
black15,3,2,24,2102.96770438602,3
black15,3,2,15,2103.52816512614,3
black15,3,2,5,2105.89260887356,3
black15,3,2,21,2131.06079898494,3
black15,3,2,25,2136.80552157125,3
black15,3,2,35,2142.48018656505,3
black15,3,2,41,2150.62438169504,3
black15,3,2,51,2153.02385423871,3
black15,3,2,55,2155.31824039361,3
black15,3,2,9,2170.76593954339,3
black15,3,2,26,2172.14957699559,3
black15,3,2,42,2174.25130477107,3
black15,3,2,52,2175.33719745507,3
black15,3,2,12,2191.41541493749,3
black15,3,2,38,2199.43700928058,3
black15,3,2,63,2201.73139543548,3
black15,3,2,36,2225.83120726099,3
black15,3,2,38,2229.36911568305,3
black15,3,2,31,2231.90870341175,3
black15,3,2,5,2235.02626627871,3
black15,3,2,34,2240.91110405006,3
black15,3,2,25,2284.1716674287,3
black15,3,2,51,2298.62104588513,3
black15,3,2,60,2299.88208255042,3
black15,3,2,5,2331.16279760883,3
black15,3,2,26,2343.26524671597,3
black15,3,2,37,2355.70046938756,3
black15,3,2,12,2371.4809421018,3
black15,3,2,58,2388.9953402308,3
black15,3,2,40,2395.07283638157,3
black15,3,2,31,2395.65081151982,3
black15,4,1,23,380.873921895493,3
black15,4,1,7,383.312206073396,3
black15,4,1,26,386.995944759438,3
black15,4,1,51,393.81963213501,3
black15,4,1,26,418.991846489627,3
black15,4,1,17,444.84818374308,3
black15,4,1,34,454.250488198881,3
black15,4,1,41,458.688516234922,3
black15,4,1,25,475.282881934899,3
black15,4,1,5,498.192228239519,3
black15,4,1,5,504.752791423231,2
black15,4,1,6,524.873021294134,3
black15,4,1,12,531.854583184822,3
black15,4,1,25,546.098372770849,3
black15,4,1,50,551.378398220842,3
black15,4,1,37,556.149716899905,3
black15,4,1,39,560.570203323155,3
black15,4,1,40,563.04357072664,3
black15,4,1,5,568.621803594074,3
black15,4,1,9,573.217706145231,3
black15,4,1,26,576.147155481273,3
black15,4,1,52,582.497219311497,3
black15,4,1,60,583.707590594054,3
black15,4,1,53,584.304005428937,3
black15,4,1,39,589.092865720791,3
black15,4,1,23,592.952020534739,3
black15,4,1,5,598.740752755661,3
black15,4,1,26,603.968153367282,3
black15,4,1,50,608.35355656495,3
black15,4,1,52,611.125131385877,3
black15,4,1,54,614.212455237036,3
black15,4,1,64,618.49260875796,3
black15,4,1,47,620.352019713771,3
black15,4,1,29,623.720009369581,3
black15,4,1,18,633.823978337009,3
black15,4,1,60,641.875578607928,3
black15,4,1,39,647.752018892804,3
black15,4,1,21,651.523465642799,3
black15,4,1,26,665.591839100919,3
black15,4,1,52,674.239854206721,3
black15,4,1,39,680.765334164852,3
black15,4,1,24,682.782619635779,3
black15,4,1,5,693.956626983439,3
black15,4,1,25,701.27147951715,3
black15,4,1,64,713.918982339226,3
black15,4,1,32,721.830249707819,3
black15,4,1,14,736.582746064776,3
black15,4,1,5,739.196446370587,3
black15,4,1,25,747.318213092668,3
black15,4,1,41,751.247534357779,3
black15,4,1,50,751.7737827415,3
black15,4,1,12,773.841131632167,3
black15,4,1,2,783.085561572852,3
black15,4,1,51,795.662897943765,3
black15,4,1,40,799.872885013527,3
black15,4,1,31,800.416675010038,3
black15,4,1,5,812.537929448394,3
black15,4,1,42,817.589913932108,3
black15,4,1,49,825.799388718143,3
black15,4,1,58,842.499004094865,3
black15,4,1,56,848.392985992531,3
black15,4,1,31,850.796186944853,3
black15,4,1,13,857.198875613449,2
black15,4,1,2,921.699385844757,3
black15,4,1,17,999.443813733023,3
black15,4,1,3,1003.23280209581,3
black15,4,1,9,1006.2499594958,3
black15,4,1,26,1008.44266109464,3
black15,4,1,41,1011.74048429929,3
black15,4,1,50,1012.37198235975,3
black15,4,1,39,1019.75700134462,3
black15,4,1,5,1025.03702679462,1
black15,4,1,5,1029.10668096205,2
black15,4,1,1,1044.42050892831,1
black15,4,2,36,1241.70246156039,3
black15,4,2,24,1250.16244729636,3
black15,4,2,5,1253.98082595151,3
black15,4,2,58,1262.63348217008,3
black15,4,2,52,1264.27993902139,3
black15,4,2,60,1267.3801822414,3
black15,4,2,52,1271.60141736018,3
black15,4,2,53,1272.52973877634,3
black15,4,2,40,1278.13469827015,3
black15,4,2,31,1279.85121711513,3
black15,4,2,21,1281.62028245536,3
black15,4,2,5,1283.33680130034,3
black15,4,2,11,1286.13928104725,3
black15,4,2,1,1287.61058291437,3
black15,4,2,1,1292.42734497936,2
black15,4,3,31,1582.97848242348,3
black15,4,3,24,1587.61977165081,3
black15,4,3,15,1588.96837267158,3
black15,4,3,5,1590.28194509441,3
black15,4,3,18,1596.00912085794,3
black15,4,3,26,1597.56789346636,3
black15,4,3,25,1598.65378000257,1
black15,4,3,25,1599.35435196141,2
black15,4,3,35,1610.3708460142,3
black15,4,3,44,1611.22904666378,3
black15,4,3,60,1613.01550515883,3
black15,4,3,54,1616.22062187053,3
black15,4,3,39,1617.55170859233,3
black15,4,3,40,1618.26979485015,3
black15,4,3,31,1619.86359605651,3
black15,4,3,30,1621.12462558243,3
black15,4,3,29,1621.9302833351,3
black15,4,3,13,1623.5591131394,3
black15,4,3,5,1624.39979949001,3
black15,4,3,6,1625.18794294371,3
black15,4,3,16,1627.2546302223,3
black15,4,3,15,1628.84843142866,3
black15,4,3,5,1633.31457766628,3
black15,4,3,12,1634.61063579014,3
black15,4,3,28,1637.74569530596,3
black15,4,3,26,1641.47624098679,3
black15,4,3,25,1642.29941303843,3
black15,4,3,34,1642.82484200756,3
black15,4,3,44,1646.46781619354,3
black15,4,3,54,1648.23676038962,3
black15,4,3,38,1649.77801869907,3
black15,4,3,40,1651.31927700852,3
black15,4,3,16,1653.54359297784,3
black15,4,3,7,1655.90802333894,3
black15,4,3,5,1656.73119539058,3
black15,4,3,9,1659.56851182389,3
black15,4,3,41,1665.99625954626,3
black15,4,3,50,1667.57254645366,3
black15,4,3,57,1668.85109027854,3
black15,4,3,51,1674.00029417603,3
black15,4,3,52,1674.73589473282,3
black15,4,3,60,1675.41895239269,3
black15,4,3,53,1676.0144385577,3
black15,4,3,39,1679.88509863031,3
black15,4,3,29,1682.80998655847,3
black15,4,3,5,1685.9975889712,3
black15,4,3,6,1687.10098980638,3
black15,4,3,12,1689.3253057757,3
black15,4,3,2,1695.05248153924,3
black15,4,3,9,1698.62539852933,3
black15,4,3,18,1701.04237178734,3
black15,4,3,25,1704.07234550933,3
black15,4,3,41,1706.78706184984,3
black15,4,3,58,1707.89046268502,3
black15,4,3,62,1716.50749777877,3
black15,4,3,55,1717.48829852115,3
black15,4,3,40,1719.36232851106,3
black15,4,3,31,1720.25555775858,3
black15,4,3,7,1725.77256193446,3
black15,4,3,5,1728.10196369761,3
black15,4,3,9,1734.00428245085,3
black15,4,3,51,1742.77894623535,3
black15,4,3,31,1749.85472301966,3
black15,4,3,7,1753.05983973136,3
black15,4,3,26,1761.79947491791,3
black15,4,3,42,1763.55090481502,3
black15,4,3,40,1770.53911010447,3
black15,4,3,31,1779.92677435295,3
black15,4,3,12,1788.50878084877,3
